Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Total Routes,Climb Time,Max Ascent,Sends,Total Ascent,Falls,Total Rest,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Strength Training,2023-12-24 15:23:06,false,"Strength","0.00","173","00:28:13","120","143","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","59","8","--","--","--","--","--","--","--","0:00","28.0","0:00","No","28:13.40","1","29.0","--","--","--","--","--","--","--","--","00:09:45.7","00:28:13","--","--"
Strength Training,2023-11-13 00:36:59,false,"Strength","0.00","146","00:46:51","92","116","0.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","38","6","--","--","--","--","--","--","--","0:00","26.0","0:00","No","46:51.43","1","27.0","--","--","--","--","--","--","--","--","00:10:35","00:46:53","--","--"
Strength Training,2023-10-26 00:37:06,false,"Push + Flexion","0.00","135","00:37:01","98","125","1.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","85","9","--","--","--","--","--","--","--","0:00","26.0","0:00","No","37:00.85","1","29.0","--","--","--","--","--","--","--","--","00:12:29","00:37:01","--","--"
Strength Training,2023-10-22 20:51:46,false,"Push + Flexion","0.00","208","00:41:18","115","141","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","99","11","--","--","--","--","--","--","--","0:00","26.0","0:00","No","41:17.59","1","28.0","--","--","--","--","--","--","--","--","00:11:34","00:41:18","--","--"
Strength Training,2023-10-20 17:28:09,false,"Strength","0.00","175","00:35:01","112","147","2.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","91","9","--","--","--","--","--","--","--","0:00","27.0","0:00","No","35:00.64","1","28.0","--","--","--","--","--","--","--","--","00:09:43.2","00:35:01","--","--"
Strength Training,2023-10-15 21:40:00,false,"Push + Flexion","0.00","278","00:52:34","121","144","2.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","72","8","--","--","--","--","--","--","--","0:00","24.0","0:00","No","52:33.87","1","26.0","--","--","--","--","--","--","--","--","00:20:30","00:52:34","--","--"
Hiking,2023-10-14 10:44:23,false,"Beykoz Hiking","9.42","758","03:17:43","112","152","2.2","60","210","20:59","8:19","259","248","0.79","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","25.0","0:00","No","41:50.09","2","34.0","--","--","--","--","--","--","--","--","02:05:23","03:48:17","46","166"
Strength Training,2023-10-13 17:00:24,false,"Strength","0.00","355","01:07:38","122","149","2.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","103","11","--","--","--","--","--","--","--","0:00","27.0","0:00","No","01:07:37.55","1","29.0","--","--","--","--","--","--","--","--","00:18:28","01:07:38","--","--"
Running,2023-10-11 21:18:01,false,"Tuzla Running","2.68","163","00:21:26","119","147","3.2","124","238","8:00","2:14","7","4","0.97","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","18.0","0:00","No","00:19.17","8","21.0","--","--","--","--","--","--","--","--","00:20:55","00:21:26","133","136"
Running,2023-10-08 22:42:12,false,"Tuzla Running","1.08","73","00:07:36.2","158","187","2.8","133","223","7:04","5:01","4","4","1.04","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","22.0","0:00","No","00:54.46","4","25.0","--","--","--","--","--","--","--","--","00:07:35.2","00:07:36.2","135","139"
Strength Training,2023-10-08 18:54:00,false,"Push + Flexion","0.00","185","00:39:44","114","136","1.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","95","10","--","--","--","--","--","--","--","0:00","27.0","0:00","No","39:43.50","1","29.0","--","--","--","--","--","--","--","--","00:11:49","00:39:44","--","--"
Strength Training,2023-10-07 23:31:25,false,"Pull + Extension","0.00","151","00:43:32","100","156","1.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","109","12","--","--","--","--","--","--","--","0:00","24.0","0:00","No","43:32.41","1","27.0","--","--","--","--","--","--","--","--","00:12:08","00:43:32","--","--"
Strength Training,2023-10-06 18:29:37,false,"Push + Flexion","0.00","204","00:49:34","108","154","1.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","108","11","--","--","--","--","--","--","--","0:00","27.0","0:00","No","49:33.82","1","30.0","--","--","--","--","--","--","--","--","00:13:04","00:49:34","--","--"
Strength Training,2023-10-04 21:22:47,false,"Pull + Extension","0.00","160","00:30:52","117","146","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","98","10","--","--","--","--","--","--","--","0:00","27.0","0:00","No","30:51.53","1","29.0","--","--","--","--","--","--","--","--","00:08:37.4","00:30:52","--","--"
Strength Training,2023-10-03 13:11:09,false,"Push + Flexion","0.00","202","00:43:47","112","172","2.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","106","11","--","--","--","--","--","--","--","0:00","28.0","0:00","No","43:47.49","1","29.0","--","--","--","--","--","--","--","--","00:14:14","00:43:47","--","--"
Strength Training,2023-10-02 15:21:36,false,"Pull + Extension ","0.00","156","00:33:21","112","136","1.5","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","129","11","--","--","--","--","--","--","--","0:00","28.0","0:00","No","33:21.49","1","29.0","--","--","--","--","--","--","--","--","00:12:50","00:33:21","--","--"
Strength Training,2023-09-30 20:51:18,false,"Strength","0.00","204","00:33:33","126","164","2.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","87","10","--","--","--","--","--","--","--","0:00","26.0","0:00","No","33:33.13","1","28.0","--","--","--","--","--","--","--","--","00:10:31","00:33:33","--","--"
Strength Training,2023-09-28 21:10:18,false,"Push + Flexion","0.00","198","00:40:18","115","147","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","91","9","--","--","--","--","--","--","--","0:00","29.0","0:00","No","40:17.79","1","31.0","--","--","--","--","--","--","--","--","00:09:07.7","00:40:18","--","--"
Strength Training,2023-09-26 20:43:20,false,"Pull + Extension","0.00","152","00:28:42","118","159","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","103","10","--","--","--","--","--","--","--","0:00","28.0","0:00","No","28:42.20","1","30.0","--","--","--","--","--","--","--","--","00:07:27.9","00:28:42","--","--"
Strength Training,2023-09-24 22:25:00,false,"Push + Flexion","0.00","118","00:35:35","97","124","0.5","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","86","8","--","--","--","--","--","--","--","0:00","31.0","0:00","No","35:34.59","1","33.0","--","--","--","--","--","--","--","--","00:06:50.2","00:35:35","--","--"
Strength Training,2023-09-23 19:09:00,false,"Pull + Extension","0.00","209","00:42:06","116","151","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","100","10","--","--","--","--","--","--","--","0:00","30.0","0:00","No","42:05.31","1","31.0","--","--","--","--","--","--","--","--","00:07:38.8","00:42:05","--","--"
Strength Training,2023-09-22 17:54:36,false,"Push + Flexion","0.00","192","00:37:38","118","145","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","87","9","--","--","--","--","--","--","--","0:00","30.0","0:00","No","37:38.42","1","32.0","--","--","--","--","--","--","--","--","00:09:33.1","00:37:38","--","--"
Strength Training,2023-09-21 16:45:00,false,"Pull + Squat","0.00","203","00:41:31","114","168","2.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","109","11","--","--","--","--","--","--","--","0:00","31.0","0:00","No","41:30.96","1","32.0","--","--","--","--","--","--","--","--","00:09:36.9","00:41:31","--","--"
Strength Training,2023-09-20 21:46:00,false,"Push + Flexion + Lateral","0.00","245","00:54:32","112","155","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","101","10","--","--","--","--","--","--","--","0:00","29.0","0:00","No","54:32.48","1","31.0","--","--","--","--","--","--","--","--","00:11:07","00:54:32","--","--"
Strength Training,2023-09-19 21:28:00,false,"Pull + Extension","0.00","247","00:49:30","118","151","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","108","12","--","--","--","--","--","--","--","0:00","29.0","0:00","No","49:30.24","1","31.0","--","--","--","--","--","--","--","--","00:08:54.3","00:49:30","--","--"
Strength Training,2023-09-17 20:22:00,false,"Push + Flexion","0.00","193","00:43:54","112","143","1.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","79","8","--","--","--","--","--","--","--","0:00","29.0","0:00","No","43:54.46","1","31.0","--","--","--","--","--","--","--","--","00:08:50.0","00:43:54","--","--"
Strength Training,2023-09-16 19:16:00,false,"Pull + Extension","0.00","151","00:30:19","115","139","1.7","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","93","9","--","--","--","--","--","--","--","0:00","29.0","0:00","No","30:19.01","1","30.0","--","--","--","--","--","--","--","--","00:07:38.2","00:30:19","--","--"
Strength Training,2023-09-15 18:12:00,false,"Push + Flexion","0.00","184","00:40:27","113","142","1.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","77","8","--","--","--","--","--","--","--","0:00","29.0","0:00","No","40:26.92","1","31.0","--","--","--","--","--","--","--","--","00:07:25.1","00:40:27","--","--"
Strength Training,2023-09-13 18:35:15,false,"Pull + Extension","0.00","119","00:29:40","105","128","0.7","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","72","8","--","--","--","--","--","--","--","0:00","29.0","0:00","No","29:39.50","1","31.0","--","--","--","--","--","--","--","--","00:08:12.4","00:29:40","--","--"
Walking,2023-09-12 21:06:33,false,"Kocasinan Walking","2.84","158","00:35:39","111","129","1.3","103","109","12:35","11:27","--","1","0.77","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","25.0","0:00","No","10:02.27","3","29.0","--","--","--","--","--","--","--","--","00:35:39","00:35:39","1,049","1,051"
Strength Training,2023-09-12 15:24:00,false,"Push + Flexion","0.00","187","00:41:07","110","134","1.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","87","8","--","--","--","--","--","--","--","0:00","30.0","0:00","No","41:06.92","1","31.0","--","--","--","--","--","--","--","--","00:07:54.7","00:41:07","--","--"
Strength Training,2023-09-11 16:58:00,false,"Pull + Lateral","0.00","103","00:27:04","98","133","0.8","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","73","8","--","--","--","--","--","--","--","0:00","31.0","0:00","No","27:03.71","1","32.0","--","--","--","--","--","--","--","--","00:09:00.5","00:27:04","--","--"
Strength Training,2023-09-10 19:00:00,false,"Push + Flexion","0.00","178","00:40:37","106","137","1.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","73","8","--","--","--","--","--","--","--","0:00","29.0","0:00","No","40:36.61","1","31.0","--","--","--","--","--","--","--","--","00:08:11.6","00:40:37","--","--"
Strength Training,2023-09-09 18:17:00,false,"Pull + Extension","0.00","158","00:27:59","119","147","1.9","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","76","8","--","--","--","--","--","--","--","0:00","30.0","0:00","No","27:58.41","1","31.0","--","--","--","--","--","--","--","--","00:07:33.9","00:28:11","--","--"
Strength Training,2023-09-07 18:32:00,false,"Push + Flexion","0.00","115","00:29:56","100","136","0.7","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","73","8","--","--","--","--","--","--","--","0:00","31.0","0:00","No","29:55.41","1","32.0","--","--","--","--","--","--","--","--","00:07:28.6","00:29:55","--","--"
Strength Training,2023-09-06 16:27:12,false,"Pull + Extension","0.00","135","00:25:51","114","137","1.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","69","8","--","--","--","--","--","--","--","0:00","31.0","0:00","No","25:50.74","1","32.0","--","--","--","--","--","--","--","--","00:06:37.3","00:25:51","--","--"
Strength Training,2023-09-05 20:55:13,false,"Strength","0.00","163","00:37:05","107","139","1.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","82","9","--","--","--","--","--","--","--","0:00","31.0","0:00","No","37:05.01","1","32.0","--","--","--","--","--","--","--","--","00:12:20","00:37:05","--","--"
Strength Training,2023-09-04 16:12:02,false,"Push","0.00","76","00:17:52","103","123","0.5","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","38","5","--","--","--","--","--","--","--","0:00","32.0","0:00","No","17:51.90","1","33.0","--","--","--","--","--","--","--","--","00:04:58.0","00:17:52","--","--"
Strength Training,2023-09-03 19:21:01,false,"Pull + Lateral","0.00","170","00:35:00","112","134","1.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","91","10","--","--","--","--","--","--","--","0:00","31.0","0:00","No","35:00.42","1","32.0","--","--","--","--","--","--","--","--","00:14:53","00:35:00","--","--"
Cardio,2023-09-03 13:39:35,false,"Jump Rope","0.00","105","00:13:53","132","153","2.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","30.0","0:00","No","13:52.97","1","31.0","--","--","--","--","--","--","--","--","00:00:00","00:13:53","--","--"
Strength Training,2023-09-02 21:23:52,false,"Push + Flexion","0.00","125","00:27:17","108","148","1.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","68","8","--","--","--","--","--","--","--","0:00","30.0","0:00","No","27:16.96","1","32.0","--","--","--","--","--","--","--","--","00:08:18.0","00:27:17","--","--"
Cardio,2023-09-02 14:18:24,false,"Jump Rope","0.00","132","00:20:09","125","158","2.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","30.0","0:00","No","20:09.42","1","33.0","--","--","--","--","--","--","--","--","00:00:00","00:23:59","--","--"
Strength Training,2023-09-01 14:35:00,false,"Pull + Extension","0.00","177","00:40:37","106","145","1.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","101","10","--","--","--","--","--","--","--","0:00","31.0","0:00","No","40:37.23","1","32.0","--","--","--","--","--","--","--","--","00:13:17","00:40:37","--","--"
Cardio,2023-08-31 17:52:50,false,"Jump Rope","0.00","150","00:19:10","135","157","2.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","31.0","0:00","No","19:09.94","1","32.0","--","--","--","--","--","--","--","--","00:00:00","00:19:10","1,070","1,073"
Strength Training,2023-08-31 10:43:00,false,"Push + Flexion","0.00","152","00:29:43","114","139","1.5","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","80","10","--","--","--","--","--","--","--","0:00","31.0","0:00","No","29:43.18","1","32.0","--","--","--","--","--","--","--","--","00:12:58","00:29:43","--","--"
Walking,2023-08-31 06:33:51,false,"Kocasinan Walking","2.87","173","00:32:01","127","137","1.4","111","117","11:09","10:31","1","--","0.81","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","23.0","0:00","No","09:41.67","3","25.0","--","--","--","--","--","--","--","--","00:31:56","00:32:01","1,049","1,051"
Running,2023-08-31 06:06:14,false,"Kocasinan Running","2.60","186","00:26:55","136","178","2.5","114","219","10:20","3:54","1","--","0.84","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","22.0","0:00","No","03:15.30","4","28.0","--","--","--","--","--","--","--","--","00:26:27","00:26:55","1,049","1,050"
Indoor Climbing,2023-08-29 13:52:38,false,"Boulderhane #6","--","952","02:57:28","126","157","2.6","--","--","--","--","76","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","27","1:14:52","7","18","76","24","1:42:35","0:00","28.0","0:00","No","02:57:28.03","1","33.0","--","--","--","--","--","--","--","--","00:00:00","02:57:30","131","143"
Indoor Climbing,2023-08-27 17:27:17,false,"Boulderhane #5","--","753","02:17:28","123","161","2.4","--","--","--","--","61","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","19","44:57","6","14","61","13","1:32:31","0:00","28.0","0:00","No","02:17:27.78","1","31.0","--","--","--","--","--","--","--","--","00:00:00","02:17:46","127","135"
Strength Training,2023-08-25 23:52:00,false,"Push + Lateral","0.00","105","00:25:04","101","122","0.6","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","77","10","--","--","--","--","--","--","--","0:00","30.0","0:00","No","25:03.55","1","32.0","--","--","--","--","--","--","--","--","00:11:56","00:25:04","--","--"
Strength Training,2023-08-24 20:29:00,false,"Pull + Flexion","0.00","152","00:36:42","102","137","0.6","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","85","9","--","--","--","--","--","--","--","0:00","31.0","0:00","No","36:41.68","1","32.0","--","--","--","--","--","--","--","--","00:08:18.3","00:36:42","--","--"
